Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Status
absolute-aphrodisiac,Absolute Aphrodisiac,<p>Chocolate chip cookie smell </p>,Nathan's Decants ,,Decant,,TRUE,Size,3ml,,0,,100,deny,manual,15.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0955/1062/6600/files/13928708_fpx.webp?v=1775337324,1,active
absolute-aphrodisiac,Absolute Aphrodisiac,<p>Chocolate chip cookie smell </p>,Nathan's Decants ,,Decant,,TRUE,Size,5ml,,0,,100,deny,manual,28.00,,TRUE,TRUE,,,,active
absolute-aphrodisiac,Absolute Aphrodisiac,<p>Chocolate chip cookie smell </p>,Nathan's Decants ,,Decant,,TRUE,Size,10ml,,0,,100,deny,manual,50.00,,TRUE,TRUE,,,,active
atomic-rose,Atomic Rose,"<p>vanilla, rose</p>",Nathan's Decants ,,Decant,,TRUE,Size,3ml,,0,,100,deny,manual,15.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0955/1062/6600/files/atomic-rose___250731.jpg?v=1775337195,1,active
atomic-rose,Atomic Rose,"<p>vanilla, rose</p>",Nathan's Decants ,,Decant,,TRUE,Size,5ml,,0,,100,deny,manual,28.00,,TRUE,TRUE,,,,active
atomic-rose,Atomic Rose,"<p>vanilla, rose</p>",Nathan's Decants ,,Decant,,TRUE,Size,10ml,,0,,100,deny,manual,47.00,,TRUE,TRUE,,,,active
blue-talisman-edp,Blue Talisman EDP,"<p>Fruity, fresh</p>",Nathan's Decants ,,Decant,,TRUE,Size,3ml,,0,,100,deny,manual,15.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0955/1062/6600/files/Blue-Talisman-Perfume-Cologne-Ex-Nihilo-sample-decants-SCENTSPLIT.webp?v=1775337031,1,active
blue-talisman-edp,Blue Talisman EDP,"<p>Fruity, fresh</p>",Nathan's Decants ,,Decant,,TRUE,Size,5ml,,0,,100,deny,manual,28.00,,TRUE,TRUE,,,,active
blue-talisman-edp,Blue Talisman EDP,"<p>Fruity, fresh</p>",Nathan's Decants ,,Decant,,TRUE,Size,10ml,,0,,100,deny,manual,50.00,,TRUE,TRUE,,,,active
adonis-awakens,Adonis Awakens,"<p>rose, sweet </p>",Nathan's Decants ,,Decant,,TRUE,Size,3ml,,0,,100,deny,manual,14.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0955/1062/6600/files/AdonisAwakens100ml_Frontview_3500X3500_728b1685-abc4-4cb0-be7f-17346efc1d86.webp?v=1773113484,1,active
adonis-awakens,Adonis Awakens,"<p>rose, sweet </p>",Nathan's Decants ,,Decant,,TRUE,Size,5ml,,0,,100,deny,manual,25.00,,TRUE,TRUE,,,,active
adonis-awakens,Adonis Awakens,"<p>rose, sweet </p>",Nathan's Decants ,,Decant,,TRUE,Size,10ml,,0,,100,deny,manual,42.00,,TRUE,TRUE,,,,active
